Added Component: Designator=U1(Finder 40.31 S)
Added Component: Designator=U2(Finder 40.31 S)
Added Component: Designator=U3(Finder 40.31 S)
Added Component: Designator=U4(Finder 40.31 S)
Added Component: Designator=U5(Finder 40.31 S)
Added Component: Designator=U6(Finder 40.31 S)
Added Component: Designator=U7(Finder 40.31 S)
Added Component: Designator=U8(Finder 40.31 S)
Added Pin To Net: NetName=NetR6_1 Pin=U1-1
Added Pin To Net: NetName=GND Pin=U1-2
Added Pin To Net: NetName=NetR7_1 Pin=U2-1
Added Pin To Net: NetName=GND Pin=U2-2
Added Pin To Net: NetName=NetR8_1 Pin=U3-1
Added Pin To Net: NetName=GND Pin=U3-2
Added Pin To Net: NetName=NetR16_1 Pin=U4-1
Added Pin To Net: NetName=GND Pin=U4-2
Added Pin To Net: NetName=NetR17_1 Pin=U5-1
Added Pin To Net: NetName=GND Pin=U5-2
Added Pin To Net: NetName=NetR18_1 Pin=U6-1
Added Pin To Net: NetName=GND Pin=U6-2
Added Pin To Net: NetName=NetR24_1 Pin=U7-1
Added Pin To Net: NetName=GND Pin=U7-2
Added Pin To Net: NetName=NetR26_1 Pin=U8-1
Added Pin To Net: NetName=GND Pin=U8-2
